id,name,short,regency_id,op_id,status_id
1,Teupah Selatan,1101010,1,1,1
2,Simeulue Timur,1101020,1,1,1
3,Teupah Barat,1101021,1,1,1
4,Teupah Tengah,1101022,1,1,1
5,Simeulue Tengah,1101030,1,1,1
6,Teluk Dalam,1101031,1,1,1
7,Simeulue Cut,1101032,1,1,1
8,Salang,1101040,1,1,1
9,Simeulue Barat,1101050,1,1,1
10,Alafan,1101051,1,1,1
11,Pulau Banyak,1102010,2,1,1
12,Pulau Banyak Barat,1102011,2,1,1
13,Singkil,1102020,2,1,1
14,Singkil Utara,1102021,2,1,1
15,Kuala Baru,1102022,2,1,1
16,Simpang Kanan,1102030,2,1,1
17,Gunung Meriah,1102031,2,1,1
18,Danau Paris,1102032,2,1,1
19,Suro,1102033,2,1,1
20,Singkohor,1102042,2,1,1
21,Kota Baharu,1102043,2,1,1
22,Trumon,1103010,3,1,1
23,Trumon Timur,1103011,3,1,1
24,Trumon Tengah,1103012,3,1,1
25,Bakongan,1103020,3,1,1
26,Bakongan Timur,1103021,3,1,1
27,Kota Bahagia,1103022,3,1,1
28,Kluet Selatan,1103030,3,1,1
29,Kluet Timur,1103031,3,1,1
30,Kluet Utara,1103040,3,1,1
31,Pasie Raja,1103041,3,1,1
32,Kluet Tengah,1103042,3,1,1
33,Tapak Tuan,1103050,3,1,1
34,Sama Dua,1103060,3,1,1
35,Sawang,1103070,3,1,1
36,Meukek,1103080,3,1,1
37,Labuhan Haji,1103090,3,1,1
38,Labuhan Haji Timur,1103091,3,1,1
39,Labuhan Haji Barat,1103092,3,1,1
40,Lawe Alas,1104010,4,1,1
41,Babul Rahmah,1104011,4,1,1
42,Tanoh Alas,1104012,4,1,1
43,Lawe Sigala-Gala,1104020,4,1,1
44,Babul Makmur,1104021,4,1,1
45,Semadam,1104022,4,1,1
46,Lauser,1104023,4,1,1
47,Bambel,1104030,4,1,1
48,Bukit Tusam,1104031,4,1,1
49,Lawe Sumur,1104032,4,1,1
50,Babussalam,1104040,4,1,1
51,Lawe Bulan,1104041,4,1,1
52,Badar,1104050,4,1,1
53,Darul Hasanah,1104051,4,1,1
54,Ketambe,1104052,4,1,1
55,Deleng Pokhkisen,1104053,4,1,1
56,Serba Jadi,1105080,5,1,1
57,Simpang Jernih,1105081,5,1,1
58,Peunaron,1105082,5,1,1
59,Birem Bayeun,1105090,5,1,1
60,Rantau Selamat,1105100,5,1,1
61,Sungai Raya,1105101,5,1,1
62,Peureulak,1105110,5,1,1
63,Peureulak Timur,1105111,5,1,1
64,Peureulak Barat,1105112,5,1,1
65,Ranto Peureulak,1105120,5,1,1
66,Idi Rayeuk,1105130,5,1,1
67,Peudawa,1105131,5,1,1
68,Banda Alam,1105132,5,1,1
69,Idi Tunong,1105133,5,1,1
70,Darul Ihsan,1105134,5,1,1
71,Idi Timur,1105135,5,1,1
72,Darul Aman,1105140,5,1,1
73,Nurussalam,1105150,5,1,1
74,Darul Falah,1105151,5,1,1
75,Julok,1105160,5,1,1
76,Indra Makmur,1105161,5,1,1
77,Pante Bidari,1105170,5,1,1
78,Simpang Ulim,1105180,5,1,1
79,Madat,1105181,5,1,1
80,Linge,1106010,6,1,1
81,Atu Lintang,1106011,6,1,1
82,Jagong Jeget,1106012,6,1,1
83,Bintang,1106020,6,1,1
84,Lut Tawar,1106031,6,1,1
85,Kebayakan,1106032,6,1,1
86,Pegasing,1106040,6,1,1
87,Bies,1106041,6,1,1
88,Bebesen,1106050,6,1,1
89,Kute Panang,1106051,6,1,1
90,Silih Nara,1106060,6,1,1
91,Ketol,1106061,6,1,1
92,Celala,1106062,6,1,1
93,Rusip Antara,1106063,6,1,1
94,Johan Pahlawan,1107050,7,1,1
95,Samatiga,1107060,7,1,1
96,Bubon,1107061,7,1,1
97,Arongan Lambalek,1107062,7,1,1
98,Woyla,1107070,7,1,1
99,Woyla Barat,1107071,7,1,1
100,Woyla Timur,1107072,7,1,1
101,Kaway Xvi,1107080,7,1,1
102,Meureubo,1107081,7,1,1
103,Pantai Ceuremen,1107082,7,1,1
104,Panton Reu,1107083,7,1,1
105,Sungai Mas,1107090,7,1,1
106,Lhoong,1108010,8,1,1
107,Lhoknga,1108020,8,1,1
108,Leupung,1108021,8,1,1
109,Indrapuri,1108030,8,1,1
110,Kuta Cot Glie,1108031,8,1,1
111,Seulimeum,1108040,8,1,1
112,Kota Jantho,1108041,8,1,1
113,Lembah Seulawah,1108042,8,1,1
114,Mesjid Raya,1108050,8,1,1
115,Darussalam,1108060,8,1,1
116,Baitussalam,1108061,8,1,1
117,Kuta Baro,1108070,8,1,1
118,Montasik,1108080,8,1,1
119,Blang Bintang,1108081,8,1,1
120,Ingin Jaya,1108090,8,1,1
121,Krueng Barona Jaya,1108091,8,1,1
122,Suka Makmur,1108100,8,1,1
123,Kuta Malaka,1108101,8,1,1
124,Simpang Tiga,1108102,8,1,1
125,Darul Imarah,1108110,8,1,1
126,Darul Kamal,1108111,8,1,1
127,Peukan Bada,1108120,8,1,1
128,Pulo Aceh,1108130,8,1,1
129,Geumpang,1109010,9,1,1
130,Mane,1109011,9,1,1
131,Glumpang Tiga,1109070,9,1,1
132,Glumpang Baro,1109071,9,1,1
133,Mutiara,1109080,9,1,1
134,Mutiara Timur,1109081,9,1,1
135,Tiro/Truseb,1109090,9,1,1
136,Tangse,1109100,9,1,1
137,Keumala,1109111,9,1,1
138,Titeue,1109112,9,1,1
139,Sakti,1109120,9,1,1
140,Mila,1109130,9,1,1
141,Padang Tiji,1109140,9,1,1
142,Delima,1109150,9,1,1
143,Grong Grong,1109151,9,1,1
144,Indrajaya,1109160,9,1,1
145,Peukan Baro,1109170,9,1,1
146,Kembang Tanjong,1109180,9,1,1
147,Simpang Tiga,1109190,9,1,1
148,Kota Sigli,1109200,9,1,1
149,Pidie,1109210,9,1,1
150,Batee,1109220,9,1,1
151,Muara Tiga,1109230,9,1,1
152,Samalanga,1110010,10,1,1
153,Simpang Mamplam,1110011,10,1,1
154,Pandrah,1110020,10,1,1
155,Jeunieb,1110030,10,1,1
156,Peulimbang,1110031,10,1,1
157,Peudada,1110040,10,1,1
158,Juli,1110050,10,1,1
159,Jeumpa,1110060,10,1,1
160,Kota Juang,1110061,10,1,1
161,Kuala,1110062,10,1,1
162,Jangka,1110070,10,1,1
163,Peusangan,1110080,10,1,1
164,Peusangan Selatan,1110081,10,1,1
165,Peusangan Siblah Krueng,1110082,10,1,1
166,Makmur,1110090,10,1,1
167,Ganda Pura,1110100,10,1,1
168,Kuta Blang,1110101,10,1,1
169,Sawang,1111010,11,1,1
170,Nisam,1111020,11,1,1
171,Nisam Antara,1111021,11,1,1
172,Banda Baro,1111022,11,1,1
173,Kuta Makmur,1111030,11,1,1
174,Simpang Keramat,1111031,11,1,1
175,Syamtalira Bayu,1111040,11,1,1
176,Geureudong Pase,1111041,11,1,1
177,Meurah Mulia,1111050,11,1,1
178,Matangkuli,1111060,11,1,1
179,Paya Bakong,1111061,11,1,1
180,Pirak Timu,1111062,11,1,1
181,Cot Girek,1111070,11,1,1
182,Tanah Jambo Aye,1111080,11,1,1
183,Langkahan,1111081,11,1,1
184,Seunuddon,1111090,11,1,1
185,Baktiya,1111100,11,1,1
186,Baktiya Barat,1111101,11,1,1
187,Lhoksukon,1111110,11,1,1
