id,name,short,state_id,op_id,status_id
1,Kabupaten Simeulue,1101,1,1,1
2,Kabupaten Aceh Singkil,1102,1,1,1
3,Kabupaten Aceh Selatan,1103,1,1,1
4,Kabupaten Aceh Tenggara,1104,1,1,1
5,Kabupaten Aceh Timur,1105,1,1,1
6,Kabupaten Aceh Tengah,1106,1,1,1
7,Kabupaten Aceh Barat,1107,1,1,1
8,Kabupaten Aceh Besar,1108,1,1,1
9,Kabupaten Pidie,1109,1,1,1
10,Kabupaten Bireuen,1110,1,1,1
11,Kabupaten Aceh Utara,1111,1,1,1
12,Kabupaten Aceh Barat Daya,1112,1,1,1
13,Kabupaten Gayo Lues,1113,1,1,1
14,Kabupaten Aceh Tamiang,1114,1,1,1
15,Kabupaten Nagan Raya,1115,1,1,1
16,Kabupaten Aceh Jaya,1116,1,1,1
17,Kabupaten Bener Meriah,1117,1,1,1
18,Kabupaten Pidie Jaya,1118,1,1,1
19,Kota Banda Aceh,1171,1,1,1
20,Kota Sabang,1172,1,1,1
21,Kota Langsa,1173,1,1,1
22,Kota Lhokseumawe,1174,1,1,1
23,Kota Subulussalam,1175,1,1,1
24,Kabupaten Nias,1201,2,1,1
25,Kabupaten Mandailing Natal,1202,2,1,1
26,Kabupaten Tapanuli Selatan,1203,2,1,1
27,Kabupaten Tapanuli Tengah,1204,2,1,1
28,Kabupaten Tapanuli Utara,1205,2,1,1
29,Kabupaten Toba Samosir,1206,2,1,1
30,Kabupaten Labuhan Batu,1207,2,1,1
31,Kabupaten Asahan,1208,2,1,1
32,Kabupaten Simalungun,1209,2,1,1
33,Kabupaten Dairi,1210,2,1,1
34,Kabupaten Karo,1211,2,1,1
35,Kabupaten Deli Serdang,1212,2,1,1
36,Kabupaten Langkat,1213,2,1,1
37,Kabupaten Nias Selatan,1214,2,1,1
38,Kabupaten Humbang Hasundutan,1215,2,1,1
39,Kabupaten Pakpak Bharat,1216,2,1,1
40,Kabupaten Samosir,1217,2,1,1
41,Kabupaten Serdang Bedagai,1218,2,1,1
42,Kabupaten Batu Bara,1219,2,1,1
43,Kabupaten Padang Lawas Utara,1220,2,1,1
44,Kabupaten Padang Lawas,1221,2,1,1
45,Kabupaten Labuhan Batu Selatan,1222,2,1,1
46,Kabupaten Labuhan Batu Utara,1223,2,1,1
47,Kabupaten Nias Utara,1224,2,1,1
48,Kabupaten Nias Barat,1225,2,1,1
49,Kota Sibolga,1271,2,1,1
50,Kota Tanjung Balai,1272,2,1,1
51,Kota Pematang Siantar,1273,2,1,1
52,Kota Tebing Tinggi,1274,2,1,1
53,Kota Medan,1275,2,1,1
54,Kota Binjai,1276,2,1,1
55,Kota Padangsidimpuan,1277,2,1,1
56,Kota Gunungsitoli,1278,2,1,1
57,Kabupaten Kepulauan Mentawai,1301,3,1,1
58,Kabupaten Pesisir Selatan,1302,3,1,1
59,Kabupaten Solok,1303,3,1,1
60,Kabupaten Sijunjung,1304,3,1,1
61,Kabupaten Tanah Datar,1305,3,1,1
62,Kabupaten Padang Pariaman,1306,3,1,1
63,Kabupaten Agam,1307,3,1,1
64,Kabupaten Lima Puluh Kota,1308,3,1,1
65,Kabupaten Pasaman,1309,3,1,1
66,Kabupaten Solok Selatan,1310,3,1,1
67,Kabupaten Dharmasraya,1311,3,1,1
68,Kabupaten Pasaman Barat,1312,3,1,1
69,Kota Padang,1371,3,1,1
70,Kota Solok,1372,3,1,1
71,Kota Sawah Lunto,1373,3,1,1
72,Kota Padang Panjang,1374,3,1,1
73,Kota Bukittinggi,1375,3,1,1
74,Kota Payakumbuh,1376,3,1,1
75,Kota Pariaman,1377,3,1,1
76,Kabupaten Kuantan Singingi,1401,4,1,1
77,Kabupaten Indragiri Hulu,1402,4,1,1
78,Kabupaten Indragiri Hilir,1403,4,1,1
79,Kabupaten Pelalawan,1404,4,1,1
80,Kabupaten Siak,1405,4,1,1
81,Kabupaten Kampar,1406,4,1,1
82,Kabupaten Rokan Hulu,1407,4,1,1
83,Kabupaten Bengkalis,1408,4,1,1
84,Kabupaten Rokan Hilir,1409,4,1,1
85,Kabupaten Kepulauan Meranti,1410,4,1,1
86,Kota Pekanbaru,1471,4,1,1
87,Kota Dumai,1473,4,1,1
88,Kabupaten Kerinci,1501,5,1,1
89,Kabupaten Merangin,1502,5,1,1
90,Kabupaten Sarolangun,1503,5,1,1
91,Kabupaten Batang Hari,1504,5,1,1
92,Kabupaten Muaro Jambi,1505,5,1,1
93,Kabupaten Tanjung Jabung Timur,1506,5,1,1
94,Kabupaten Tanjung Jabung Barat,1507,5,1,1
95,Kabupaten Tebo,1508,5,1,1
96,Kabupaten Bungo,1509,5,1,1
97,Kota Jambi,1571,5,1,1
98,Kota Sungai Penuh,1572,5,1,1
99,Kabupaten Ogan Komering Ulu,1601,6,1,1
100,Kabupaten Ogan Komering Ilir,1602,6,1,1
101,Kabupaten Muara Enim,1603,6,1,1
102,Kabupaten Lahat,1604,6,1,1
103,Kabupaten Musi Rawas,1605,6,1,1
104,Kabupaten Musi Banyuasin,1606,6,1,1
105,Kabupaten Banyu Asin,1607,6,1,1
106,Kabupaten Ogan Komering Ulu Selatan,1608,6,1,1
107,Kabupaten Ogan Komering Ulu Timur,1609,6,1,1
108,Kabupaten Ogan Ilir,1610,6,1,1
109,Kabupaten Empat Lawang,1611,6,1,1
110,Kabupaten Penukal Abab Lematang Ilir,1612,6,1,1
111,Kabupaten Musi Rawas Utara,1613,6,1,1
112,Kota Palembang,1671,6,1,1
113,Kota Prabumulih,1672,6,1,1
114,Kota Pagar Alam,1673,6,1,1
115,Kota Lubuklinggau,1674,6,1,1
116,Kabupaten Bengkulu Selatan,1701,7,1,1
117,Kabupaten Rejang Lebong,1702,7,1,1
118,Kabupaten Bengkulu Utara,1703,7,1,1
119,Kabupaten Kaur,1704,7,1,1
120,Kabupaten Seluma,1705,7,1,1
121,Kabupaten Mukomuko,1706,7,1,1
122,Kabupaten Lebong,1707,7,1,1
123,Kabupaten Kepahiang,1708,7,1,1
124,Kabupaten Bengkulu Tengah,1709,7,1,1
125,Kota Bengkulu,1771,7,1,1
126,Kabupaten Lampung Barat,1801,8,1,1
127,Kabupaten Tanggamus,1802,8,1,1
128,Kabupaten Lampung Selatan,1803,8,1,1
129,Kabupaten Lampung Timur,1804,8,1,1
130,Kabupaten Lampung Tengah,1805,8,1,1
131,Kabupaten Lampung Utara,1806,8,1,1
132,Kabupaten Way Kanan,1807,8,1,1
133,Kabupaten Tulangbawang,1808,8,1,1
134,Kabupaten Pesawaran,1809,8,1,1
135,Kabupaten Pringsewu,1810,8,1,1
136,Kabupaten Mesuji,1811,8,1,1
