id,name,short,national_id,op_id,status_id
1,Aceh,11,105,1,1
2,Sumatera Utara,12,105,1,1
3,Sumatera Barat,13,105,1,1
4,Riau,14,105,1,1
5,Jambi,15,105,1,1
6,Sumatera Selatan,16,105,1,1
7,Bengkulu,17,105,1,1
8,Lampung,18,105,1,1
9,Kepulauan Bangka Belitung,19,105,1,1
10,Kepulauan Riau,21,105,1,1
11,DKI Jakarta,31,105,1,1
12,Jawa Barat,32,105,1,1
13,Jawa Tengah,33,105,1,1
14,Di Yogyakarta,34,105,1,1
15,Jawa Timur,35,105,1,1
16,Banten,36,105,1,1
17,Bali,51,105,1,1
18,Nusa Tenggara Barat,52,105,1,1
19,Nusa Tenggara Timur,53,105,1,1
20,Kalimantan Barat,61,105,1,1
21,Kalimantan Tengah,62,105,1,1
22,Kalimantan Selatan,63,105,1,1
23,Kalimantan Timur,64,105,1,1
24,Kalimantan Utara,65,105,1,1
25,Sulawesi Utara,71,105,1,1
26,Sulawesi Tengah,72,105,1,1
27,Sulawesi Selatan,73,105,1,1
28,Sulawesi Tenggara,74,105,1,1
29,Gorontalo,75,105,1,1
30,Sulawesi Barat,76,105,1,1
31,Maluku,81,105,1,1
32,Maluku Utara,82,105,1,1
33,Papua Barat,91,105,1,1
34,Papua,94,105,1,1
