id,name,short,district_id,zipcode,op_id,status_id
1,Latiung,1101010001,1,23891,1,1
2,Labuhan Bajau,1101010002,1,23891,1,1
3,Suak Lamatan,1101010003,1,23891,1,1
4,Ana Ao,1101010004,1,23891,1,1
5,Lataling,1101010005,1,23891,1,1
6,Pulau Bengkalak,1101010006,1,23891,1,1
7,Badegong,1101010007,1,23891,1,1
8,Kebun Baru,1101010008,1,23891,1,1
9,Ulul Mayang,1101010009,1,,1,1
10,Pasir Tinggi,1101010010,1,23891,1,1
11,Labuhan Jaya,1101010011,1,23891,1,1
12,Labuhan Bakti,1101010012,1,23891,1,1
13,Batu Ralang,1101010013,1,23891,1,1
14,Alus Alus,1101010014,1,23891,1,1
15,Seuneubok,1101010015,1,23891,1,1
16,Blang Sebel,1101010016,1,23891,1,1
17,Trans Baru,1101010017,1,23891,1,1
18,Trans Meranti,1101010018,1,,1,1
19,Trans Jernge,1101010019,1,23891,1,1
20,Air Pinang,1101020022,2,,1,1
21,Kuala Makmur,1101020023,2,,1,1
22,Ganting,1101020024,2,,1,1
23,Linggi,1101020025,2,,1,1
24,Lugu,1101020026,2,,1,1
25,Sinabang,1101020027,2,,1,1
26,Suka Maju,1101020028,2,,1,1
27,Suka Karya,1101020029,2,,1,1
28,Suka Jaya,1101020030,2,,1,1
29,Air Dingin,1101020031,2,,1,1
30,Kota Batu,1101020032,2,,1,1
31,Suak Buluh,1101020035,2,,1,1
32,Ujung Tinggi,1101020036,2,,1,1
33,Pulau Siumat,1101020037,2,,1,1
34,Sefoyan,1101020038,2,,1,1
35,Amaiteng Mulia,1101020039,2,,1,1
36,Ameria Bahagia,1101020040,2,,1,1
37,Sital,1101021001,3,23892,1,1
38,Leubang,1101021002,3,,1,1
39,Leubang Hulu,1101021003,3,23892,1,1
40,Awe Seubal,1101021004,3,23892,1,1
41,Lantik,1101021005,3,23892,1,1
42,Awe Kecil,1101021006,3,23892,1,1
43,Salur,1101021007,3,23892,1,1
44,Salur Latun,1101021008,3,23892,1,1
45,Salur Lasengalu,1101021009,3,23892,1,1
46,Nancala,1101021010,3,23892,1,1
47,Maudil,1101021011,3,23892,1,1
48,Inor,1101021012,3,23892,1,1
49,Naibos,1101021013,3,23892,1,1
50,Laayon,1101021014,3,23892,1,1
51,Angkeo,1101021015,3,23892,1,1
52,Bunon,1101021016,3,23892,1,1
53,Silengas,1101021017,3,23892,1,1
54,Pulau Teupah,1101021018,3,23892,1,1
55,Kahat,1101022001,4,23891,1,1
56,Busung Indah,1101022002,4,23891,1,1
57,Nancawa,1101022003,4,23891,1,1
58,Labuah,1101022004,4,23891,1,1
59,Abail,1101022005,4,23891,1,1
60,Simpang Abail,1101022006,4,23891,1,1
61,Lanting,1101022007,4,23891,1,1
62,Lasikin,1101022008,4,23891,1,1
63,Matanurung,1101022009,4,,1,1
64,Sua Sua,1101022010,4,,1,1
65,Batu Batu,1101022011,4,,1,1
66,Situbuk,1101022012,4,23891,1,1
67,Dihit,1101030001,5,,1,1
68,Lauke,1101030002,5,,1,1
69,Lambaya,1101030003,5,,1,1
70,Lakubang,1101030004,5,,1,1
71,Kampung Aie,1101030005,5,,1,1
72,Lauree,1101030006,5,,1,1
73,Latitik,1101030007,5,,1,1
74,Lamayang,1101030008,5,,1,1
75,Wel Wel,1101030009,5,,1,1
76,Situfa Jaya,1101030020,5,,1,1
77,Putra Jaya,1101030021,5,,1,1
78,Luan Sorip,1101030022,5,,1,1
79,Suak Baru,1101030023,5,,1,1
80,Sebbe,1101030024,5,,1,1
81,Kuta Baru,1101030025,5,,1,1
82,Wel Langkom,1101030026,5,,1,1
83,Kuala Bakti,1101031001,6,23891,1,1
84,Lugu Sebahak,1101031002,6,,1,1
85,Gunung Putih,1101031003,6,23891,1,1
86,Babussalam,1101031004,6,23891,1,1
87,Muara Aman,1101031005,6,23891,1,1
88,Luan Balu,1101031006,6,23891,1,1
89,Sambai,1101031007,6,,1,1
90,Kuala Baru,1101031008,6,23891,1,1
91,Tanjung Raya,1101031009,6,23891,1,1
92,Bulu Hadik,1101031010,6,23891,1,1
93,Bubuhan,1101032001,7,23894,1,1
94,Amarabu,1101032002,7,23894,1,1
95,Kuta Inang,1101032003,7,23894,1,1
96,Kuta Padang,1101032004,7,23894,1,1
97,Latak Ayah,1101032005,7,23894,1,1
98,Sibuluh,1101032006,7,23894,1,1
99,Borengan,1101032007,7,23894,1,1
100,Ujung Padang,1101032008,7,,1,1
101,Ujung Salang,1101040001,8,23893,1,1
102,Padang Unoi,1101040002,8,23893,1,1
103,Meunafa,1101040003,8,,1,1
104,Nasreuhe,1101040004,8,23893,1,1
105,Along,1101040005,8,,1,1
106,Panton Lawe,1101040006,8,23893,1,1
107,Mutiara,1101040007,8,23893,1,1
108,Karya Bakti,1101040008,8,23893,1,1
109,Tamon Jaya,1101040009,8,,1,1
110,Jaya Baru,1101040010,8,23893,1,1
111,Tameng,1101040011,8,23893,1,1
112,Lalla Bahagia,1101040012,8,23893,1,1
113,Suak Manang,1101040013,8,23893,1,1
114,Bunga,1101040014,8,23893,1,1
115,Ganang Pusako,1101040015,8,23893,1,1
116,Kenangan Jaya,1101040016,8,23893,1,1
117,Sanggiran,1101050007,9,,1,1
118,Amabaan,1101050008,9,,1,1
119,Miteum,1101050009,9,,1,1
120,Malasin,1101050010,9,,1,1
121,Lamamek,1101050011,9,,1,1
122,Sigulai,1101050012,9,,1,1
123,Sembilan,1101050013,9,,1,1
124,Layabaung,1101050014,9,,1,1
125,Lhok Makmur,1101050015,9,,1,1
126,Ujung Harapan,1101050016,9,,1,1
127,Lhok Bikhao,1101050017,9,,1,1
128,Babul Makmur,1101050018,9,,1,1
129,Batu Ragi,1101050019,9,,1,1
130,Sinar Bahagia,1101050020,9,,1,1
131,Lafakha,1101051001,10,,1,1
132,Lhok Dalam,1101051002,10,,1,1
133,Lubuk Baik,1101051003,10,,1,1
134,Langi,1101051004,10,,1,1
135,Serafon,1101051005,10,,1,1
136,Lhok Pauh,1101051006,10,,1,1
137,Lamerem,1101051007,10,,1,1
138,Lewak,1101051008,10,,1,1
139,Pulau Baguk,1102010003,11,24791,1,1
140,Pulau Balai,1102010004,11,24791,1,1
141,Teluk Nibung,1102010005,11,24791,1,1
142,Asantola,1102011001,12,24791,1,1
143,Ujung Sialit,1102011002,12,24791,1,1
144,Haloban,1102011003,12,24791,1,1
145,Suka Makmur,1102011004,12,24791,1,1
146,Pulo Sarok,1102020003,13,24785,1,1
147,Pasar Singkil,1102020004,13,24785,1,1
148,Ujung,1102020005,13,24785,1,1
149,Kota Simboling,1102020006,13,24785,1,1
150,Kilangan,1102020007,13,24785,1,1
151,Teluk Ambun,1102020009,13,24785,1,1
152,Rantau Gedang,1102020010,13,24785,1,1
153,Teluk Rumbia,1102020011,13,24785,1,1
154,Takal Pasir,1102020012,13,24785,1,1
155,Selok Aceh,1102020013,13,24785,1,1
156,Pea Bumbung,1102020014,13,,1,1
157,Pemuka,1102020015,13,24785,1,1
158,Suka Damai,1102020019,13,24785,1,1
159,Ujung Bawang,1102020020,13,24785,1,1
160,Siti Ambia,1102020021,13,24785,1,1
161,Suka Makmur,1102020022,13,24785,1,1
162,Gosong Telaga Utara,1102021001,14,24785,1,1
163,Gosong Telaga Selatan,1102021002,14,24785,1,1
164,Gosong Telaga Timur,1102021003,14,24785,1,1
165,Telaga Bakti,1102021004,14,,1,1
166,Kampung Baru,1102021005,14,24785,1,1
167,Ketapang Indah,1102021006,14,24785,1,1
168,Gosong Telaga Barat,1102021007,14,24785,1,1
169,Kayu Menang,1102022001,15,24784,1,1
170,Kuala Baru Sungai,1102022002,15,24784,1,1
171,Kuala Baru Laut,1102022003,15,24784,1,1
172,Suka Jaya,1102022004,15,24784,1,1
173,Pangi,1102030017,16,24783,1,1
174,Tugan,1102030026,16,24783,1,1
175,Cibubukan,1102030027,16,24783,1,1
176,Kain Golong,1102030028,16,24783,1,1
177,Sukarejo,1102030029,16,24783,1,1
178,Tuh Tuhan,1102030030,16,24783,1,1
179,Lae Gecih,1102030031,16,24783,1,1
180,Siatas,1102030032,16,24783,1,1
181,Kuta Kerangan,1102030033,16,,1,1
182,Lipat Kajang,1102030034,16,24783,1,1
183,Tanjung Mas,1102030035,16,24783,1,1
184,Serasah,1102030036,16,24783,1,1
185,Ujung Limus,1102030038,16,24783,1,1
